Player Ali:
(coordinates recorded in cm precision)
  00:56:355: (x: -236, y: -1260)
  00:56:636: (x: -236, y: -1260)
  00:56:668: (x: -275, y: -1189)
  00:56:942: (x: -275, y: -1189)
  00:56:981: (x: -275, y: -1189)
  00:57:263: (x: -442, y: -940)
  00:57:302: (x: -442, y: -940)
  00:57:573: (x: -363, y: -1088)
  00:57:608: (x: -363, y: -1088)
  00:57:892: (x: -363, y: -1088)
  00:57:922: (x: -363, y: -1088)
  00:58:203: (x: -376, y: -1140)
  00:58:235: (x: -376, y: -1140)
  00:58:514: (x: -471, y: -1129)
  00:58:541: (x: -471, y: -1129)
  00:58:822: (x: -471, y: -1129)
  00:58:855: (x: -471, y: -1129)
  00:59:142: (x: -491, y: -940)
  00:59:173: (x: -491, y: -940)
  00:59:448: (x: -416, y: -1106)
  00:59:488: (x: -416, y: -1106)
  00:59:763: (x: -416, y: -1106)
  00:59:807: (x: -209, y: -1257)
  01:00:069: (x: -209, y: -1257)

Player Ahmed:
(coordinates recorded in cm precision)
  00:01:238: (x: 476, y: 794)
  00:01:549: (x: 482, y: 764)
  00:01:630: (x: 482, y: 764)
  00:01:856: (x: 482, y: 764)
  00:01:940: (x: 483, y: 771)
  00:02:171: (x: 483, y: 771)
  00:02:250: (x: 483, y: 771)
  00:02:561: (x: 493, y: 700)
  00:02:802: (x: 501, y: 757)
  00:02:878: (x: 501, y: 757)
  00:03:124: (x: 501, y: 757)
  00:03:190: (x: 501, y: 757)
  00:03:438: (x: 549, y: 762)
  00:03:503: (x: 549, y: 762)
  00:03:813: (x: 506, y: 734)
  00:04:067: (x: 506, y: 734)
  00:04:124: (x: 541, y: 743)
  00:04:383: (x: 541, y: 743)
  00:04:432: (x: 541, y: 743)
  00:04:697: (x: 524, y: 719)
  00:04:742: (x: 524, y: 719)
  00:05:061: (x: 539, y: 743)
  00:05:311: (x: 539, y: 743)
  00:05:379: (x: 539, y: 743)
  00:05:627: (x: 715, y: 640)
  00:05:693: (x: 715, y: 640)
  00:05:937: (x: 532, y: 807)
  00:06:247: (x: 532, y: 807)
  00:06:325: (x: 532, y: 807)
  00:06:554: (x: 552, y: 824)
  00:06:632: (x: 552, y: 824)
  00:06:864: (x: 490, y: 773)
  00:06:951: (x: 490, y: 773)
  00:07:178: (x: 490, y: 773)
  00:07:486: (x: 575, y: 849)
  00:07:583: (x: 575, y: 849)
  00:07:803: (x: 658, y: 858)
  00:07:896: (x: 658, y: 858)
  00:08:109: (x: 658, y: 858)
  00:08:204: (x: 613, y: 842)
  00:08:414: (x: 613, y: 842)
  00:08:722: (x: 620, y: 804)
  00:08:830: (x: 620, y: 804)
  00:09:036: (x: 541, y: 886)
  00:09:146: (x: 541, y: 886)
  00:09:351: (x: 541, y: 886)
  00:09:452: (x: 541, y: 886)
  00:09:760: (x: 600, y: 888)
  00:09:969: (x: 596, y: 848)
  00:10:071: (x: 596, y: 848)
  00:10:288: (x: 596, y: 848)
  00:10:384: (x: 659, y: 921)
  00:10:603: (x: 659, y: 921)
  00:10:701: (x: 659, y: 921)
  00:11:015: (x: 510, y: 736)
  00:11:242: (x: 509, y: 818)
  00:11:328: (x: 509, y: 818)
  00:11:559: (x: 509, y: 818)
  00:11:637: (x: 509, y: 818)
  00:11:875: (x: 552, y: 774)
  00:11:952: (x: 552, y: 774)
  00:12:264: (x: 542, y: 766)
  00:12:498: (x: 542, y: 766)
  00:12:583: (x: 542, y: 766)
  00:12:810: (x: 669, y: 978)
  00:12:893: (x: 669, y: 978)
  00:13:128: (x: 548, y: 865)
  00:13:442: (x: 548, y: 865)
  00:13:525: (x: 642, y: 977)
  00:13:751: (x: 642, y: 977)
  00:13:836: (x: 642, y: 977)
  00:14:071: (x: 555, y: 721)
  00:14:142: (x: 555, y: 721)
  00:14:377: (x: 576, y: 718)
  00:14:686: (x: 576, y: 718)
  00:14:763: (x: 576, y: 718)
  00:15:002: (x: 784, y: 603)
  00:15:080: (x: 784, y: 603)
  00:15:309: (x: 672, y: 751)
  00:15:402: (x: 672, y: 751)
  00:15:626: (x: 672, y: 751)
  00:15:943: (x: 496, y: 769)
  00:16:029: (x: 496, y: 769)
  00:16:258: (x: 468, y: 758)
  00:16:345: (x: 468, y: 758)
  00:16:574: (x: 468, y: 758)
  00:16:652: (x: 491, y: 688)
  00:16:962: (x: 491, y: 688)
  00:17:189: (x: 445, y: 747)
  00:17:276: (x: 445, y: 747)
  00:17:494: (x: 496, y: 769)
  00:17:592: (x: 496, y: 769)
  00:17:808: (x: 496, y: 769)
  00:17:908: (x: 496, y: 769)
  00:18:227: (x: 551, y: 807)
  00:18:435: (x: 497, y: 796)
  00:18:548: (x: 497, y: 796)
  00:18:745: (x: 497, y: 796)
  00:18:867: (x: 502, y: 792)
  00:19:063: (x: 502, y: 792)
  00:19:178: (x: 502, y: 792)
  00:19:496: (x: 492, y: 773)
  00:19:689: (x: 492, y: 773)
  00:19:808: (x: 475, y: 707)
  00:20:003: (x: 475, y: 707)
  00:20:115: (x: 475, y: 707)
  00:20:316: (x: 488, y: 720)
  00:20:633: (x: 523, y: 801)
  00:20:732: (x: 523, y: 801)
  00:20:953: (x: 523, y: 801)
  00:21:041: (x: 523, y: 801)
  00:21:267: (x: 522, y: 740)
  00:21:346: (x: 522, y: 740)
  00:21:581: (x: 494, y: 728)
  00:21:900: (x: 494, y: 728)
  00:21:976: (x: 729, y: 598)
  00:22:209: (x: 729, y: 598)
  00:22:289: (x: 729, y: 598)
  00:22:522: (x: 531, y: 683)
  00:22:602: (x: 531, y: 683)
  00:22:833: (x: 531, y: 683)
  00:23:148: (x: 494, y: 746)
  00:23:240: (x: 494, y: 746)
  00:23:463: (x: 523, y: 731)
  00:23:561: (x: 523, y: 731)
  00:23:777: (x: 593, y: 471)
  00:23:873: (x: 593, y: 471)
  00:24:193: (x: 533, y: 54)
  00:24:416: (x: 533, y: 54)
  00:24:505: (x: 533, y: 54)
  00:24:731: (x: 47, y: -130)
  00:24:814: (x: 47, y: -130)
  00:25:049: (x: 47, y: -130)
  00:25:129: (x: -13, y: -532)
  00:25:449: (x: -13, y: -532)
  00:25:682: (x: 134, y: -629)
  00:25:761: (x: 134, y: -629)
  00:26:002: (x: 75, y: -68)
  00:26:068: (x: 75, y: -68)
  00:26:312: (x: 75, y: -68)
  00:26:382: (x: 75, y: -68)
  00:26:692: (x: 143, y: 454)
  00:26:938: (x: 344, y: 400)
  00:27:005: (x: 344, y: 400)
  00:27:248: (x: 344, y: 400)
  00:27:313: (x: 533, y: 487)
  00:27:559: (x: 533, y: 487)
  00:27:864: (x: 467, y: 370)
  00:27:937: (x: 467, y: 370)
  00:28:180: (x: 337, y: 291)
  00:28:244: (x: 337, y: 291)
  00:28:495: (x: 337, y: 291)
  00:28:559: (x: 337, y: 291)
  00:28:807: (x: 238, y: -137)
  00:29:123: (x: 68, y: -564)
  00:29:187: (x: 68, y: -564)
  00:29:429: (x: 68, y: -564)
  00:29:502: (x: 68, y: -564)
  00:29:738: (x: 209, y: -531)
  00:29:816: (x: 209, y: -531)
  00:30:052: (x: 483, y: -434)
  00:30:366: (x: 483, y: -434)
  00:30:449: (x: 505, y: -327)
  00:30:682: (x: 505, y: -327)
  00:30:761: (x: 505, y: -327)
  00:30:999: (x: 413, y: -332)
  00:31:067: (x: 413, y: -332)
  00:31:382: (x: 573, y: -527)
  00:31:621: (x: 573, y: -527)
  00:31:697: (x: 1383, y: -25)
  00:31:935: (x: 1383, y: -25)
  00:32:011: (x: 1383, y: -25)
  00:32:247: (x: 1240, y: -166)
  00:32:322: (x: 1240, y: -166)
  00:32:635: (x: 1234, y: -148)
  00:32:872: (x: 1234, y: -148)
  00:32:942: (x: 1234, y: -148)
  00:33:182: (x: 893, y: -342)
  00:33:255: (x: 893, y: -342)
  00:33:487: (x: 893, y: -342)
  00:33:573: (x: 674, y: -785)
  00:33:882: (x: 674, y: -785)
  00:34:122: (x: 527, y: -150)
  00:34:193: (x: 527, y: -150)
  00:34:432: (x: 517, y: -85)
  00:34:503: (x: 517, y: -85)
  00:34:747: (x: 517, y: -85)
  00:35:069: (x: 564, y: -610)
  00:35:123: (x: 564, y: -610)
  00:35:383: (x: 430, y: -244)
  00:35:431: (x: 430, y: -244)
  00:35:704: (x: 430, y: -244)
  00:35:753: (x: 553, y: -396)
  00:36:012: (x: 553, y: -396)
  00:36:326: (x: 564, y: -271)
  00:36:365: (x: 564, y: -271)
  00:36:632: (x: 475, y: -245)
  00:36:672: (x: 475, y: -245)
